Material Name,Symbol,Category,Phase,t_min (K),t_max (K),A,B,C,D,Max Fit Error (%),R²,Molecular Weight (g/mol),NASA Species (ref),Reference Code,Source / Notes
LiNO3,LiNO3,Other technologically relevant materials,L,525,6000,148.999151,0,0,0,0,1,68.9459,LiNO3(L),tpis82,"Liquid. Gurvich,1982 pt1 p294 pt2 p328."
LiOH,LiOH,Other technologically relevant materials,cr,200,746,-7.099881,295.653381,-428.079424,240.947863,2.215,0.99894,23.9483,LiOH(cr),g,"Tetragonal. Gurvich,1996b."
LiOH,LiOH,Other technologically relevant materials,L,746,6000,87.299503,0,0,0,0,1,23.9483,LiOH(L),g,"Liquid. Gurvich,1996b."
Li2CO3,Li2CO3,Other technologically relevant materials,cr,200,500,-53.422862,929.35606,-1858.446141,1484.070947,3.538,0.99905,73.8909,Li2CO3(cr),tpis82,"Monoclinic. Gurvich,1982 pt1 p297 pt2 p330."
Li2CO3,Li2CO3,Other technologically relevant materials,cr,500,1005,49.54685,174.967539,-24.993662,8.907347,0.013,1,73.8909,Li2CO3(cr),tpis82,"Monoclinic. Gurvich,1982 pt1 p297 pt2 p330."
Li2CO3,Li2CO3,Other technologically relevant materials,L,1005,6000,184.998946,0,0,0,0,1,73.8909,Li2CO3(L),tpis82,"Liquid. Gurvich,1982 pt1 p297 pt2 p330."
Li2O,Li2O,Other technologically relevant materials,cr,200,800,-21.637437,405.560896,-611.796969,332.221926,1.318,0.99919,29.8814,Li2O(cr),tpis82,"Cubic. Gurvich,1982 pt1 p257 pt2 p295."
Li2O,Li2O,Other technologically relevant materials,cr,800,1726,62.881523,9.348366,13.495541,2.998104,0.064,1,29.8814,Li2O(cr),tpis82,"Cubic. Gurvich,1982 pt1 p257 pt2 p295."
Li2O,Li2O,Other technologically relevant materials,L,1726,6000,103.999407,0,0,0,0,1,29.8814,Li2O(L),tpis82,"Liquid. Gurvich,1982 pt1 p257 pt2 p295."
Li2O2,Li2O2,Other technologically relevant materials,cr,298.15,1000,57.157674,59.841659,0,0,0,1,45.8808,Li2O2(cr),tpis82,"Hexagonal. Gurvich,1982 pt1 p261 pt2 p298."
Li2SO4,Li2SO4,Other technologically relevant materials,a,200,500,-5.907136,583.43531,-646.280093,260.481065,0.967,0.99921,109.9446,Li2SO4(a),tpis82,"Alpha. Gurvich,1982 pt1 p291 pt2 p325."
Li2SO4,Li2SO4,Other technologically relevant materials,a,500,848,-381.084696,2730.464693,-4704.587366,2784.829694,0.104,1,109.9446,Li2SO4(a),tpis82,"Alpha. Gurvich,1982 pt1 p291 pt2 p325."
Li2SO4,Li2SO4,Other technologically relevant materials,b,848,1131,217.998758,0,0,0,0,1,109.9446,Li2SO4(b),tpis82,"Beta. Gurvich,1982 pt1 p291 pt2 p325."
Li2SO4,Li2SO4,Other technologically relevant materials,L,1131,6000,204.998832,0,0,0,0,1,109.9446,Li2SO4(L),tpis82,"Liquid. Gurvich,1982 pt1 p291 pt2 p325."
Li3ALF6,Li3ALF6,Other technologically relevant materials,IV,200,500,-42.768298,1470.66516,-2758.802665,1965.137935,0.355,0.99996,161.795,Li3ALF6(IV),tpis82,"Rhombic. Gurvich,1982 pt1 p301 pt2 p334."
Li3ALF6,Li3ALF6,Other technologically relevant materials,IV,500,788,116.500861,397.382363,-323.373235,110.149362,0.009,1,161.795,Li3ALF6(IV),tpis82,"Rhombic. Gurvich,1982 pt1 p301 pt2 p334."
Li3ALF6,Li3ALF6,Other technologically relevant materials,III,788,873,284.998376,0,0,0,0,1,161.795,Li3ALF6(III),tpis82,"Tetragonal. Gurvich,1982 pt1 p301 pt2 p334."
Li3ALF6,Li3ALF6,Other technologically relevant materials,II,873,978,294.998319,0,0,0,0,1,161.795,Li3ALF6(II),tpis82,"Cubic. Gurvich,1982 pt1 p301 pt2 p334."
Li3ALF6,Li3ALF6,Other technologically relevant materials,I,978,1058,277.998416,0,0,0,0,1,161.795,Li3ALF6(I),tpis82,"Crystal. Gurvich,1982 pt1 p301 pt2 p334."
Li3ALF6,Li3ALF6,Other technologically relevant materials,L,1058,6000,385.9978,0,0,0,0,1,161.795,Li3ALF6(L),tpis82,"Liquid. Gurvich,1982 pt1 p301 pt2 p334."
Li3N,Li3N,Other technologically relevant materials,cr,200,700,-6.824593,429.688782,-646.453227,405.918708,1.957,0.9992,34.8297,Li3N(cr),j,"Chase,1998 p1526."
Li3N,Li3N,Other technologically relevant materials,cr,700,1300,45.149535,111.907229,-15.728579,-0.387901,0.056,1,34.8297,Li3N(cr),j,"Chase,1998 p1526."
Magnesium,Mg,Metals and alloys,cr,100,298.15,-3.54177,283.354093,-1025.746492,1324.791832,1.211,0.99957,24.305,Mg(cr),srd,"Hexagonal. Ref-Elm. Alcock,1993."
Magnesium,Mg,Metals and alloys,cr,298.15,923,19.266805,26.503292,-30.494298,18.676908,0.505,0.99974,24.305,Mg(cr),srd,"Hexagonal. Ref-Elm. Alcock,1993."
Magnesium,Mg,Metals and alloys,L,923,6000,34.299805,0,0,0,0,1,24.305,Mg(L),srd,"Liquid. Ref-Elm. Alcock,1993."
